Architecture,Parallel_Channels,Total_MACs,NUM_PE,MACS_PER_PE,BUFFER_SIZE_BYTES,DMA_Cycles,Compute_Cycles,Total_Cycles,cpu_core_cache,references_cpu_core_cache,misses_cpu_core_miss,percentagecpu_core,cycles_cpu_core,instructions_cpu_core,branches_time_elapsed,seconds
ISC,1,9,3,3,9,1207808,401408,1609216,113018,113018,73901,65.39,126471512,544202789,67844384,0.02938409
ISC,2,18,6,3,18,806400,200704,1007104,107270,107270,70434,65.66,119838385,520561383,64197451,0.027573022
ISC,4,36,12,3,36,705152,100352,805504,112170,112170,71860,64.06,121852163,508836112,62385669,0.028460542
ISC,8,72,24,3,72,604800,50176,654976,118642,118642,76161,64.19,118738417,503067586,61504589,0.027640811
ISC,16,144,48,3,144,604800,25088,629888,106173,106173,70083,66.01,116775937,499972784,61025917,0.028031456
ISC,32,288,96,3,288,604800,12544,617344,111493,111493,77671,69.66,116349582,498677074,60822673,0.028360536
ISC,48,432,144,3,432,604800,12544,617344,105743,105743,64826,61.31,128590652,563941188,64602237,0.030402626
WS,1,9,3,3,9,802880,401408,1204288,113466,113466,70342,61.99,129872839,517248996,70872237,0.030501264
WS,2,18,6,3,18,602160,200704,802864,103834,103834,65302,62.89,121815568,501272545,68836331,0.0278629
WS,4,36,12,3,36,501800,100352,602152,104241,104241,66043,63.36,120109288,493294533,67822819,0.027529616
WS,8,72,24,3,72,451620,50176,501796,109377,109377,69153,63.22,117160563,489351683,67330765,0.027470896
WS,16,144,48,3,144,451620,25088,476708,106620,106620,64474,60.47,117072194,487343202,67068234,0.027049605
WS,32,288,96,3,288,451620,12544,464164,110856,110856,70927,63.98,139146772,486450868,66964333,0.031671957
WS,48,432,144,3,432,451620,12544,464164,102276,102276,69838,68.28,127943638,539487049,70565506,0.029666839
WSIS,1,9,3,3,9,405056,401408,806464,112497,112497,69393,61.68,109659650,464690631,63315233,0.025674841
WSIS,2,18,6,3,18,204336,200704,405040,106195,106195,65538,61.71,106903924,447000375,60898906,0.024889009
WSIS,4,36,12,3,36,203432,100352,303784,115157,115157,68095,59.13,105974000,438167486,59693645,0.02446688
WSIS,8,72,24,3,72,153252,50176,203428,113689,113689,70390,61.91,105095434,433871421,59109857,0.024458903
WSIS,16,144,48,3,144,153252,25088,178340,108239,108239,72808,67.27,103803437,431633785,58809782,0.024312377
WSIS,32,288,96,3,288,153252,12544,165796,111441,111441,70868,63.59,102281106,430559547,58661494,0.024192234
WSIS,48,432,144,3,432,153252,12544,165796,108210,108210,74102,68.48,123485127,526551898,65848026,0.0295031
TL,1,9,3,3,9,1204224,401408,1605632,113478,113478,71376,62.9,150628432,635534787,75718554,0.034994151
TL,2,18,6,3,18,1003520,200704,1204224,117296,117296,76033,64.82,148216251,610079962,70907392,0.0355919
TL,4,36,12,3,36,903168,100352,1003520,107462,107462,68850,64.07,146849556,598376192,68866359,0.034846757
TL,8,72,24,3,72,903168,50176,953344,115761,115761,79124,68.35,143343217,593488836,68105557,0.03456852
TL,16,144,48,3,144,903168,25088,928256,108601,108601,72609,66.86,143271447,590436463,67514934,0.034400961
TL,32,288,96,3,288,903168,12544,915712,114925,114925,75604,65.79,141212264,589006565,67240125,0.034173802
TL,48,432,144,3,432,903168,12544,915712,105549,105549,71024,67.29,153282190,642170066,70856701,0.036217641
